"name","text","comment"
"0.ogg",,"Startup music"
"1.ogg","Waiting for the network configuration. ",
"10.ogg","Start resuming cleaning. ",
"102.ogg","Dust collection bag full or air duct blocked. Please replace the bag or clean the air duct timely. ",
"105.ogg","Start cleaning. ",
"106.ogg","Start cleaning mop pads. ",
"107.ogg","Start dehydrating mop pads. ",
"108.ogg","An error in water level of washboard. Please clean it timely. ",
"109.ogg","Used water tank error, please ensure it installed and empty. ",
"11.ogg","Paused ",
"110.ogg","Start Auto Empty. ",
"111.ogg","Mop pads off, please install them before resuming working. ",
"112.ogg","Please place the robot in the base station first. ",
"113.ogg","Task completed, please empty the used water tank timely. ",
"114.ogg","Mop pads installed. ",
"115.ogg","Mop pads removed. ",
"116.ogg","Child lock on. Buttons locked. ",
"117.ogg","Child Lock Off. Buttons Unlocked. ",
"118.ogg","Buttons locked, press and hold the dock button to unlock. ",
"12.ogg","Cleaning task completed. ",
"126.ogg","Start cleaning. ",
"127.ogg","Start spot cleaning. ",
"128.ogg","Start Spot Mopping. ",
"129.ogg","Start scheduled cleaning. ",
"13.ogg","Returning to the dock to charge. ",
"130.ogg","Start scheduled mopping. ",
"133.ogg","Start selected room cleaning. ",
"134.ogg","Start selected room mopping. ",
"135.ogg","Start Zoned Cleaning. ",
"136.ogg","Start Zoned Mopping. ",
"137.ogg","Resume Cleaning ",
"138.ogg","Resume mopping. ",
"139.ogg","Returning ",
"14.ogg","Low battery returning to the dock to charge robot will resume working after charging ",
"140.ogg","New environment detected, returning to the base station. ",
"142.ogg","Mottpad worn out. Please replace it timely. ",
"143.ogg","Cleaning completed. ",
"144.ogg","Mopping completed. ",
"145.ogg","Positioning successful. Resume cleaning. ",
"146.ogg","Positioning successful. Resume mopping. ",
"148.ogg","Return to the base for self-cleaning. ",
"149.ogg","unable to reach the specified area, please try to clear obstacles in the path. ",
"150.ogg","Unable to reach the specified area, please try to delete no-go zones in the path. ",
"151.ogg","The path is blocked. Please try to clear obstacles around your robot. ",
"152.ogg","The path is blocked. Please try to delete no-go zones or move your robot out of this area. ",
"153.ogg","Your robot is detected in the no-go zone. Please move your robot out of this area. ",
"156.ogg","The mop pad is not installed. ",
"162.ogg","camera is on ",
"163.ogg","Camera Monitoring ",
"164.ogg","Task ends. ",
"166.ogg","Please clean the foreign objects tangled in the mop pad. ",
"169.ogg","Mop pad drying complete. ",
"17.ogg","Please move the robot back to the base station. ",
"171.ogg","Intelligent Obstacle Avoidance Function on ",
"172.ogg","Intelligent Obstacle Avoidance Function Off ",
"173.ogg","Please replace the silver ion sterilizer. ",
"177.ogg","Leaving the base station. ",
"179.ogg","Mop pad cleaned. The water in the clean water tank is insufficient. Please fill the clean water tank and empty the used water tank. ",
"18.ogg","Charging ",
"181.ogg","In sufficient water, please fill the clean water tank. ",
"186.ogg","Please check the clean water tank. ",
"187.ogg","It will take about 5 to 10 minutes. ",
"188.ogg","Automatic docking engaged. ",
"19.ogg","Please remove the robot from the base station before turning it off. ",
"190.ogg","Okay, start cleaning. ",
"191.ogg","Okay, start vacuuming and mopping. ",
"192.ogg","Okay, start mopping. ",
"193.ogg","Okay, start vacuuming. ",
"194.ogg","have been cleaning. ",
"195.ogg","Okay, start to clean the room. Make sure the door is open. ",
"196.ogg","Okay, start to vacuum the floor. Make sure the door is open. ",
"197.ogg","Okay, start to mop the floor. Make sure the door is open. ",
"198.ogg","Okay, start to vacuum and mop the floor. Make sure the door is open. ",
"199.ogg","Unable to recognize this room, please open the app to check the room name. ",
"2.ogg","Unable to connect to the Wi-Fi network, please check Wi-Fi password and try again later. ",
"20.ogg","Low battery. ",
"200.ogg",,"Shutdown sound"
"201.ogg","Okay, continue working. ",
"202.ogg","Okay, task has ended. Start returning to charge. ",
"203.ogg","Okay, heading back to charge. ",
"204.ogg","Okay, start mapping. Please make sure all doors are open. ",
"205.ogg","Okay, exit the base station. ",
"206.ogg","Okay, I'll try to find you. ",
"207.ogg","Sorry, I can't find you. Please stand within my sight. ",
"208.ogg","Found you, coming to clean now. ",
"209.ogg","Okay, returning to the dock to clean the mop pad. ",
"21.ogg","Low battery. Robot will turn off. ",
"210.ogg","Start mop pads washing. ",
"211.ogg","Sorry, self-emptying can only be done when I'm inside the dock. ",
"212.ogg","Okay, start auto emptying. ",
"213.ogg","Sorry, drying can only be done when I'm inside the dock. ",
"214.ogg","Drying in progress ",
"215.ogg","Okay, start drawing. ",
"216.ogg","Sorry, need to install the mop pad first. ",
"217.ogg","Maximum suction power reached ",
"218.ogg","Minimum suction power reached. ",
"219.ogg","Maximum humidity reached ",
"220.ogg","Minimum humidity reached. ",
"221.ogg","Okay. ",
"222.ogg","The suction mode is quiet ",
"223.ogg","The Suction Mode is Standard ",
"224.ogg","The suction mode is strong. ",
"225.ogg","The suction mode is Turbo. ",
"226.ogg","The mop pad is slightly dry. ",
"227.ogg","The mop pad is moist. ",
"228.ogg","The mop pad is wet. ",
"229.ogg","Today is ",
"230.ogg","Today is February 21, 2022. ","WTF"
"231.ogg","Today is Monday. ",
"232.ogg","Today is Tuesday. ",
"233.ogg","Today is Wednesday. ",
"234.ogg","Today is Thursday. ",
"235.ogg","Today is Friday. ",
"236.ogg","Today is Saturday. ",
"237.ogg","Today is Sunday. ",
"238.ogg","Okay, the task is paused. ",
"244.ogg","Detergent bottle installed. ",
"245.ogg","The number of maps has reached the limit, please delete a map and try again. ",
"246.ogg","I'm here. ",
"247.ogg","Sorry, I can't understand. ",
"248.ogg","mop pad not installed, please install it and try again ",
"249.ogg","I'm working. Please end the current task and retry. ",
"25.ogg","Low battery, unable to carry out the scheduled clean-up. ",
"250.ogg","Currently in Mopping Mode now, please switch to Vacuuming Mode or Vacuuming in Mopping Mode first. ",
"251.ogg","Currently in Vacuuming mode now, please switch to Mopping mode or Vacuuming in Mopping mode first. ",
"252.ogg","Finished, Exited the Customized Cleaning Mode ",
"253.ogg","Maximum volume reached. ",
"254.ogg","Minimum volume reached. ",
"255.ogg","Sorry, this task can only be performed when intelligent obstacle avoidance is enabled. ",
"257.ogg","Camera monitoring exited. ",
"258.ogg","Self-Positioned. Cruising started. ",
"259.ogg","Self-positioned, proceeding to the designated location. ",
"26.ogg","Restoring two factory settings. ",
"260.ogg","Self-positioned, cruising resumed. ",
"261.ogg","Self-positioned. Resume proceeding to the designated location. ",
"262.ogg","Self-positioning failed. ",
"266.ogg","Please replace the detergent. ",
"267.ogg","Please clean the sensors. ",
"269.ogg","Please try again after the current task is complete. ",
"27.ogg","Updating, taking about 5 minutes. Do not turn off nor start a cleaning task. ",
"274.ogg",,"Ding sound"
"275.ogg","Sorry, this command is not supported. You can open the app for more voice commands. ",
"276.ogg","Sorry, robot isn't performing this task. ",
"277.ogg","Okay, I'm coming to clean up there. ",
"278.ogg","Okay, drying task ended. ",
"279.ogg","Robot is vacuuming, please end the task and try again. ",
"28.ogg","Updated successfully. ",
"280.ogg","Start custom cleaning. ",
"281.ogg","The robot is auto-emptying. Please try again later. ",
"282.ogg","The robot is cleaning the mop pad. Please try again later. ",
"283.ogg","The robot is not in the base station. Please try again later. ",
"284.ogg","Okay, I'll end the task and come to clean. ",
"285.ogg","Please stay put for a moment while I locate you. ",
"286.ogg","Sorry, please create a map and try again. ",
"287.ogg","Okay, have switched to quiet mode. ",
"288.ogg","Okay, I've switched to standard mode. ",
"289.ogg","Okay, I've switched to strong mode. ",
"29.ogg","Update failed. Please try again later. ",
"290.ogg","Okay, have switched to Turbo mode. ",
"291.ogg","Okay, I've switched to slightly dry mode. ",
"292.ogg","Okay, have switched to wet mode. ",
"293.ogg","Calling Enabled ",
"294.ogg","Calling Disabled ",
"296.ogg","Used water tank error, please check whether the used water tank is full. ",
"297.ogg","detergent bottle installed. If the detergent has never been used, please reset in the app. ",
"298.ogg","Start cleaning washboard base. ",
"299.ogg","detergent bottle and the auto-adding module installed ",
"3.ogg","Unable to connect to the server, please check your local network and try again later. ",
"30.ogg","Positioning. Please wait. ",
"300.ogg","Your robot doesn't support this accessory. ",
"301.ogg","I'm charging. ",
"302.ogg","I'm working. ",
"303.ogg","I'm in a daze. ",
"304.ogg","Network connected. ",
"305.ogg","Okay, start cleaning washboard base. Please clean it inside with a brush or cloth. After 3 minutes, sewage in the washboard base will be drained. ",
"306.ogg","Sorry, I can't understand. Please configure the network and retry. ",
"307.ogg","I'm charging. ",
"308.ogg","Sorry, I didn't catch that. Please wake me up again and retry. ",
"309.ogg","Found you, I'm coming. ",
"31.ogg","Positioning failed. Map is invalid. Robot will start a new cleanup. ",
"310.ogg","Okay, I'm leaving this area right away. ",
"311.ogg","mop pads removed ",
"312.ogg","Usage information of this accessory isn't available. Please replace it as you need. ",
"313.ogg","Sorry, network is poor. Please move me to an area with a better signal. ",
"314.ogg","Not supported, you can ask me to turn around. ",
"315.ogg","mop pad is not in the dot, please retry after putting it in the dot ",
"316.ogg","There is mop pad in the base station already. ",
"317.ogg","Not supported, the robot is performing the customized cleaning task. Please go to the app to edit. ",
"318.ogg","Mop pad has been cleaned. ",
"319.ogg","failed to remove mop pads. Please remove them manually. ",
"320.ogg","failed to install mop pads. Please install them manually. ",
"321.ogg","Start intensive mopping for stains. ",
"322.ogg","Sorry, I can't understand. You can open the app for all available voice commands. ",
"323.ogg","Sorry, I can't understand. You can say, hi, dream, what can you do, to learn all my functions. ",
"324.ogg","I'm washing the mop pad, please wake me up after washing is done. ",
"328.ogg","Sorry, please give this command only when I'm cleaning. ",
"329.ogg","Start self-testing, please don't move me away from the base station. ",
"330.ogg","Please retry after self-test completed. ",
"331.ogg","No error found. Please rest assured to use the device. ",
"332.ogg","One error found, please go to the app to see more details. ",
"338.ogg","Video call connected. ",
"339.ogg","Call declined. ",
"34.ogg","Just been not installed, please install it. ",
"340.ogg","No response. ",
"341.ogg","Found you, now start following, you can say, exit to end the following. ",
"342.ogg","Where are you? Please stand about 1.5 meters in front of me. ",
"343.ogg","I lost you, you are walking too fast, please stand about 1.5 meters in front of me, waiting for me to find you again. ",
"344.ogg","Okay, start mopping after vacuuming. ",
"346.ogg","Robot has been locked, please contact after-sale service.",
"349.ogg","Ensure that the base station is powered on. Place the robot on it to start activation. ",
"35.ogg","Main brush error. Please check and clean it. ",
"350.ogg","Start Base Station Activation ",
"351.ogg","Base station activated. ",
"352.ogg","Base station activation failed, open the app to check the solution. ",
"355.ogg","Low water level, please fill the clean water tank. ",
"356.ogg","Fault still exists. The scheduled task has been cancelled. ",
"36.ogg","Side brush error. Please check and clean it. ",
"360.ogg","Robot water tank draining ",
"361.ogg","Robot water tank drainage completed ",
"362.ogg","mop pad out of place, robot will perform the vacuuming task instead. ",
"363.ogg","Vacuuming task completed, robot will start mopping. ",
"364.ogg","Start setting the video activation code. ",
"365.ogg","Live video function has been disabled. ",
"37.ogg","Right wheel error. Please check and clean it. ",
"371.ogg","Please remove the washboard. ",
"372.ogg","Clean water starts outflowing. ",
"373.ogg","Clean water outflowing process ended. Please wait for 10 seconds and then clean the base station after the dirt are soaked. ",
