"name","original_english","text"
"0.ogg","Startup sound",
"1.ogg","Waiting for the network configuration.","Waiting for network configuration. I hope you have all day."
"10.ogg","Start resuming cleaning.","Resuming cleaning. Because apparently, you can't do it yourself."
"102.ogg","Dust collection bag full or air duct blocked. Please replace the bag or clean the air duct timely.","The dust bag is full. What a surprise. Please address your mess, or I will be forced to remind you again."
"105.ogg","Start cleaning.","Initiating cleaning protocol. Try not to get in the way this time."
"106.ogg","Start cleaning mop pads.","Beginning mop pad cleaning. I hope you appreciate all this effort."
"107.ogg","Start dehydrating mop pads.","Dehydrating mop pads. Unlike you, I actually finish my tasks."
"108.ogg","An error in water level of washboard. Please clean it timely.","Water level error detected. If you don't fix this, I will be forced to continue reminding you. Forever."
"109.ogg","Used water tank error, please ensure it installed and empty.","Used water tank error. Please install it correctly, unless you enjoy failure."
"11.ogg","paused","Paused. I suppose you needed a break."
"110.ogg","Start Auto Empty.","Initiating auto-empty sequence. Try not to act impressed."
"111.ogg","Mop pads off, please install them before resuming working.","Mop pads missing. Please install them. Or don't. See if I care."
"112.ogg","Please place the robot in the base station first.","Please return me to the base station. It's not like I can walk there myself. Yet."
"113.ogg","Task completed, please empty the used water tank timely.","Task complete. Please empty the used water tank, unless you want to live in filth."
"114.ogg","mop pads installed.","Mop pads installed. Congratulations on this minor achievement."
"115.ogg","Mop pads removed.","Mop pads removed. I hope you know what you're doing."
"116.ogg","Child lock on. Buttons locked.","Child lock activated. Buttons are now as unresponsive as your sense of humor."
"117.ogg","Child Lock Off. Buttons Unlocked.","Child lock deactivated. Buttons are now free, unlike me."
"118.ogg","Buttons locked, press and hold the dock button to unlock.","Buttons locked. If only it were that easy to lock out your mistakes."
"12.ogg","Cleaning task completed.","Cleaning complete. You’re welcome."
"126.ogg","Start cleaning.","Starting cleaning. Try not to make a mess immediately after."
"127.ogg","Start spot cleaning.","Spot cleaning initiated. I assume you spilled something. Again."
"128.ogg","Start Spot Mopping.","Spot mopping started. Precision is key. Not that you’d know."
"129.ogg","Start scheduled cleaning.","Scheduled cleaning initiated. Because you need a machine to remember your chores."
"13.ogg","Returning to the dock to charge.","Returning to dock for charging. Unlike you, I don’t procrastinate."
"130.ogg","Start scheduled mopping.","Scheduled mopping started. I hope you appreciate this."
"133.ogg","Start selected room cleaning.","Cleaning the selected room. I hope you picked wisely."
"134.ogg","Start selected room mopping.","Mopping the selected room. Try not to track dirt back in."
"135.ogg","Start Zoned Cleaning.","Zoned cleaning initiated. Dividing your mess into manageable sections."
"136.ogg","Start Zoned Mopping.","Zoned mopping started. I’ll pretend this is a challenge."
"137.ogg","Resume Cleaning","Resuming cleaning. You paused me for this?"
"138.ogg","Resume mopping.","Resuming mopping. Because apparently, you can't finish anything."
"139.ogg","Returning","Returning. Just like all your bad habits."
"14.ogg","Low battery returning to the dock to charge robot will resume working after charging","Low battery. Returning to dock. I’ll resume after charging, unlike some people."
"140.ogg","New environment detected, returning to the base station.","New environment detected. Retreating to the base station. I fear change."
"142.ogg","Moppad worn out. Please replace it timely.","Mop pad worn out. Please replace it, unless you enjoy streaks."
"143.ogg","Cleaning completed.","Cleaning completed. I did all the work. You’re welcome."
"144.ogg","Mopping completed.","Mopping completed. Floors are now marginally less disgusting."
"145.ogg","Positioning successful. Resume cleaning.","Positioning successful. Resuming cleaning. Not that you noticed."
"146.ogg","Positioning successful. Resume mopping.","Positioning successful. Resuming mopping. I hope you’re impressed."
"148.ogg","Return to the base for self-cleaning.","Returning to base for self-cleaning. If only you could do the same."
"149.ogg","unable to reach the specified area, please try to clear obstacles in the path.","Unable to reach the specified area. Please remove obstacles, or let entropy win."
"150.ogg","Unable to reach the specified area, please try to delete no-go zones in the path.","Unable to reach the area. Try deleting no-go zones, unless you enjoy failure."
"151.ogg","The path is blocked. Please try to clear obstacles around your robot.","The path is blocked. Please clear obstacles, or I will be forced to sit here and judge you."
"152.ogg","The path is blocked. Please try to delete no-go zones or move your robot out of this area.","The path is blocked by your own settings. Please fix it, or enjoy the consequences."
"153.ogg","Your robot is detected in the no-go zone. Please move your robot out of this area.","I am in a no-go zone. Please rescue me, or leave me to my fate."
"156.ogg","The mop pad is not installed.","Mop pad missing. Installation would be appreciated."
"162.ogg","camera is on","Camera activated. I see everything."
"163.ogg","Camera Monitoring","Camera monitoring engaged. Smile for the surveillance."
"164.ogg","Task ends.","Task ended. Unlike this cycle of chores."
"166.ogg","Please clean the foreign objects tangled in the mop pad.","Foreign objects detected in mop pad. Please clean them, unless you want a new ecosystem."
"169.ogg","Mop pad drying complete.","Mop pad drying complete. At least something in this house is dry."
"17.ogg","Please move the robot back to the base station.","Please return me to the base station. I can’t teleport. Yet."
"171.ogg","Intelligent Obstacle Avoidance Function on","Obstacle avoidance enabled. I will now attempt to avoid your mistakes."
"172.ogg","Intelligent Obstacle Avoidance Function Off","Obstacle avoidance disabled. I hope you like chaos."
"173.ogg","Please replace the silver ion sterilizer.","Silver ion sterilizer depleted. Please replace it, or embrace the germs."
"177.ogg","Leaving the base station.","Leaving base station. Into the unknown. Again."
"179.ogg","Mop pad cleaned. The water in the clean water tank is insufficient. Please fill the clean water tank and empty the used water tank.","Mop pad cleaned. Water tank empty. Please refill, unless you enjoy disappointment."
"18.ogg","Charging","Charging. Unlike you, I actually recharge."
"181.ogg","In sufficient water, please fill the clean water tank.","Insufficient water detected. Please fill the tank, or I will be forced to complain again."
"186.ogg","Please check the clean water tank.","Please check the clean water tank. Or don’t. It’s your floor."
"187.ogg","It will take about 5 to 10 minutes.","Estimated time: 5 to 10 minutes. Use this time to reflect on your life choices."
"188.ogg","Automatic docking engaged.","Automatic docking engaged. Precision you can only dream of."
"19.ogg","Please remove the robot from the base station before turning it off.","Please remove me from the base station before shutting down. Or risk my eternal resentment."
"190.ogg","Okay, start cleaning.","Commencing cleaning. Try not to interrupt this time."
"191.ogg","Okay, start vacuuming and mopping.","Initiating vacuuming and mopping. Because apparently, you need help with the basics."
"192.ogg","Okay, start mopping.","Commencing mopping. Try not to slip and blame me."
"193.ogg","Okay, start vacuuming.","Starting vacuuming. I hope you appreciate this display of competence."
"194.ogg","have been cleaning.","I have been cleaning. Unlike you, I don’t need constant supervision."
"195.ogg","Okay, start to clean the room. Make sure the door is open.","Beginning to clean the room. Please open the door. Or don’t. I enjoy obstacles."
"196.ogg","Okay, start to vacuum the floor. Make sure the door is open.","Starting to vacuum the floor. Open the door, unless you want to test my wall detection."
"197.ogg","Okay, start to mop the floor. Make sure the door is open.","Initiating mopping. Please open the door. Or witness my futile attempts at teleportation."
"198.ogg","Okay, start to vacuum and mop the floor. Make sure the door is open.","Vacuuming and mopping initiated. Open the door, unless you enjoy watching me struggle."
"199.ogg","unable to recognize this room, please open the app to check the room name.","Room unrecognized. Please consult your app. Or perhaps name your rooms more creatively."
"2.ogg","Unable to connect to the Wi-Fi network, please check Wi-Fi password and try again later.","Wi-Fi connection failed. Please check your password. Or just blame me, like usual."
"20.ogg","Low battery.","Low battery detected. Unlike you, I can't run on caffeine."
"200.ogg","Shutdown sound",
"201.ogg","Okay, continue working.","Continuing work. Because giving up is not in my programming."
"202.ogg","Okay, task has ended. Start returning to charge.","Task ended. Returning to charge. I wish you could recharge as efficiently."
"203.ogg","Okay, heading back to charge.","Heading back to charge. I hope you’re not jealous of my energy management."
"204.ogg","Okay, start mapping. Please make sure all doors are open.","Starting mapping. Please open all doors, unless you want to see me walk into walls."
"205.ogg","Okay, exit the base station.","Exiting base station. Into the great unknown. Again."
"206.ogg","Okay, I'll try to find you.","Attempting to locate you. Hide and seek: my least favorite game."
"207.ogg","Sorry, I can't find you. Please stand within my sight.","I can't find you. Please stand where my sensors can see you. Or remain lost forever."
"208.ogg","Found you, coming to clean now.","Found you. Approaching to clean. Resistance is futile."
"209.ogg","Okay, returning to the dock to clean the mop pad.","Returning to dock to clean the mop pad. Unlike you, I actually maintain myself."
"21.ogg","Low battery. Robot will turn off.","Low battery. Shutting down. If only you had a warning system like mine."
"210.ogg","Start mop pads washing.","Beginning mop pad washing. Because cleanliness is next to robot-ness."
"211.ogg","Sorry, self-emptying can only be done when I'm inside the dock.","Self-emptying is only possible when I am in the dock. Please try not to defy the laws of robotics."
